title,view_count,like_count,comment_count,favorite_count,durations,published_at,published_date,published_time
Full Energy New Day With Starbucks Coffee Music - Starbucks Music - Morning Jazz & Bossa Nova Music,1351,11,0,0,P0D,2023-10-05 22:01:46+00:00,2023-10-05,22:01:46
"Starbucks Happy Morning Music - Relaxing Starbucks Cafe Jazz & Bossa Nova Music For Wake Up, Study",606,11,4,0,P1D,2023-10-05 22:00:11+00:00,2023-10-05,22:00:11
Starbucks Coffee Music & Jazz Relaxing Music - Work & Study Lounge Jazz Music - Coffee Shop Music,1649,21,2,0,PT11H54M57S,2023-10-05 13:28:00+00:00,2023-10-05,13:28:00
Starbucks Coffee Shop Music - Keep Upbeat Your Moods with Jazz Relaxing Music & Elegant Bossa Nova,357,3,0,0,P0D,2023-10-05 08:53:58+00:00,2023-10-05,08:53:58
Elegant Starbucks Cafe Music - Starbucks Music 2023 - Happy Bossa Nova Music For Positive Energy,1847,22,6,0,P1DT1S,2023-10-04 22:00:07+00:00,2023-10-04,22:00:07
Starbucks BGM 2024 : Positive Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1049,14,1,0,PT11H54M57S,2023-10-04 12:37:21+00:00,2023-10-04,12:37:21
"Happy October Jazz - Relaxing Morning Starbucks With Jazz Music - Bossa Nova Music For Work, Study",1347,12,4,0,P1D,2023-10-03 22:00:08+00:00,2023-10-03,22:00:08
"Relaxing Starbucks Cafe Music - Smooth Bossa Nova Piano Music - Positive Jazz For Work, Study",1108,15,5,0,PT11H54M59S,2023-10-03 13:12:16+00:00,2023-10-03,13:12:16
"Stress Relief with Autumn Relax Music 🍂 Starbucks Coffee Shop Ambience ~ Smooth Jazz For Work, Study",2140,26,8,0,P1D,2023-10-02 22:00:07+00:00,2023-10-02,22:00:07
"Starbucks Coffee Shop Music - Starbucks Cafe Jazz Music, Relaxing Starbucks Jazz Collection 2023",2027,22,2,0,PT11H54M55S,2023-10-02 10:45:24+00:00,2023-10-02,10:45:24
Starbucks October Jazz 🍁 Relaxing Elegant Bossa Nova and Positive Coffee Jazz Music for Mood Booster,3691,26,6,0,P1DT1S,2023-10-01 22:00:09+00:00,2023-10-01,22:00:09
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,1492,16,1,0,PT11H54M55S,2023-10-01 13:27:06+00:00,2023-10-01,13:27:06
Starbucks Autumn Ambience - Smooth Jazz Music With Starbucks Coffee Music - Coffee Shop Music,530,6,1,0,PT36M50S,2023-10-01 11:41:53+00:00,2023-10-01,11:41:53
"Elegant Jazz Music - Starbucks Coffee Jazz & Bossa Nova Piano Music For Relax, Work, Study",1578,13,1,0,PT11H54M58S,2023-09-30 15:22:57+00:00,2023-09-30,15:22:57
"Starbucks Happy Jazz - Good Mood Starbucks Cafe Music - Positive Jazz for Morning, Work, Study",932,14,5,0,P1DT1S,2023-09-29 22:00:10+00:00,2023-09-29,22:00:10
Starbucks Music 2023 - Happy Morning Starbucks With Smooth Jazz Music - Starbucks Coffee Shop,3916,26,7,0,P1DT1S,2023-09-27 22:00:10+00:00,2023-09-27,22:00:10
Starbucks BGM : Good Mood Jazz Music with Starbucks Coffee Music - Bossa Nova Music Playlist,1003,12,3,0,PT11H54M57S,2023-09-27 13:19:27+00:00,2023-09-27,13:19:27
"Best of Starbucks Music Collection - Autumn Bossa Nova Jazz Music for Good Mood, Relaxation",2733,22,2,0,P1D,2023-09-26 22:00:12+00:00,2023-09-26,22:00:12
"Sweet Autumn Jazz - Good Morning With Starbucks Bossa Nova Jazz - Relaxing Jazz Music To Work, Study",1078,13,2,0,PT11H54M55S,2023-09-26 11:50:43+00:00,2023-09-26,11:50:43
Starbucks Music Playlist 2023 - Night Cafe Music - Relax Jazz Music Mixed With Starbucks Coffee,1721,23,9,0,P1DT1S,2023-09-24 22:00:09+00:00,2023-09-24,22:00:09
"Starbucks Happy Morning Music -Positive Starbucks Cafe Jazz & Bossa Nova Music For Relax, Work,Study",1667,12,6,0,P2DT1S,2023-09-20 22:00:12+00:00,2023-09-20,22:00:12
Sweet Jazz Music - Starbucks Coffee Shop Music  - Piano Music & Bossa Nova Music for Positive Day,3591,24,7,0,PT11H43M3S,2023-09-20 11:32:27+00:00,2023-09-20,11:32:27
